PID,p,Nombre de carpeta digital,Digital File Name (First),Digital File Name (Last),,Level of description,Extent and medium,Title (In Original Language/Script),Original Reference,Dates of Material (Gregorian Calendar),,Related Towns/Cities,NO INCLUIDO EN TABLA DE BIBLIOTECA BRITÁNICA,,"Related Subjects
",,,,,
AHJCI.MFC.002.020,Ernestina Lemos Rentería,EAP1477_MFC_B02_Doc20_TerrenoPalestina,EAP1477_MFC_B02_Doc20_TerrenoPalestina_IMG_001,EAP1477_MFC_B02_Doc20_TerrenoPalestina_IMG_056,56,Documento,27 folios de papel,Expropiación de terreno de 30 hectáreas para reubicación de poblado de Palestina cabecera del municipio de Cuellar,"Archivo Histórico del Juzgado del Circuito de Istmina, Fondo Minería y Familia, Caja 3, Documento 20",1903,,Palestina|Cuellar|Cauca|Nóvita|Istmina|Buenaventura,"García de Posso, Eusebia|Arcos, Manuel María|Villalba, Bruno G|Murillo, Roberto|Lozano C, Ricardo|Largacha, Leovilgido|Hurtado, Luis|Arango, Germán|Román, Olimpo|Zapata, José Vicente|Hurtado, Joaquín|Posso, Ángel|Orrego, Eugenio|Camacho, Eduardo|Posso, Augusto|Bonilla, Hermenegildo|García, Eduardo|Sierra, Roberto|Salazar, Manuel E|SalazarG, José A|Miller, Ramón|Castro, Cerbelion|Salazar, Primitivo",,administración-judicial|tierras,"El concejo municipal de Cuellar, a nombre del pueblo que representa y para contribuir al progreso y mejoramiento de la cabecera del distrito, que se hallaba en completa ruina a causas de la insalubridad del terreno en que está situada, le exige al alcalde de Cuellar que promueva y lleve efecto de expropiación de 30 hectáreas de terreno en el punto de Arenal de la Vigía, frente a la desembocadura del río Calima, con el objeto de trasladar al lugar sano y seguro a la población de Palestina. Argumentan que el lugar actual del poblado de Palestina es insalubre, anegadizo y ofrece el peligro de un remolino que forman la unión de las aguas del Calima y San Juan, además que allí han perecido varias personas. También se asegura que los edificios públicos como la iglesia, y las casas particulares están en la ruina y abandonadas, pues allí no se podía vivir por el mal clima. Se pide la reubicación al punto del Arenal de la Vigía porque es más sano, seco y sin peligro en el río. Además, carece de todo cultivo y de casa de habitación, no hay sementeras de ninguna especie en el terreno. Por lo tanto, se consideraba un lugar propicio para reubicar la cabecera municipal de Cuellar. Pero este lugar parecía tener una dueña y era la señora Eusebia García, viuda de Posso, y los hijos herederos del señor Augusto Posso. Para ese momento ellos no vendían ni dejaban que se ocupara el lugar, ya que les pertenecía, pero el prefecto de la provincia, investigando, aseguraba que no existía ningún título de propiedad ni documento alguno que conste que el señor Augusto fuera dueño de esos terrenos, así que se resuelve darle las 30 hectáreas de expropiación para el municipio de Palestina. Al pasar dos años del caso, los supuestos dueños no presentaron ningún documento que testifique que el terreno les pertenecía, se resuelve dar a la población de Palestina 100 hectáreas del terreno de Arenal de la Vigía. En el año del 1906, la señora Eusebia García le da un poder especial al señor Hermenegildo Bonilla para que sea su representante en este caso. El caso no tiene un final claro. ",El documento está en mal estado. Tiene manchas que en ocasiones dificultan ver el número de folio,,,"Descrito por Ernestina Lemos Rentería el 2023-01-20, revisado por Daniel Varela Corredor y Kelly López Roldán el 2024-02-20"
AHJCI.MFC.002.021,Nallely Taborda Castañeda,EAP1477_MFC_B02_Doc21_RojasIbarguen,EAP1477_MFC_B02_Doc21_RojasIbarguen_IMG_001,EAP1477_MFC_B02_Doc21_RojasIbarguen_IMG_020,20,Documento,9 folios de papel,Contra Andrés Aurelino Rojas y Victoria Ibargüen por amancebamiento,"Archivo Histórico del Juzgado del Circuito de Istmina, Fondo Minería y Familia, Caja 3, Documento 21",1909,,Nóvita|Quibdó|El Bocón|Bebedó|Istmina|Tamaná,"Rojas, Andrés Aureliano|Ibargüen, Víctor|Asprilla, Nicolás|Asprilla, Juan José|Rojas, Adelaida|Rivas, Nicanor|López, Belisario|Baldich, Leandro|Rentería, Pedro|Asprilla, Valentín|Asprilla, Juan Bautista|Carrasco, José León|Rojas, Zacarías|Rentería, Juan Antonio|Lozano, Indalecio|Castillo, Samuel|Rentería, Pedro|López, Belisario|Ibargüen, Manuel Mariano",,judicial|vida social,"Denuncia contra Andrés Aurelio Rojas y Victoria Ibargüen por el delito de amancebamiento público y escandaloso, en Novita, específicamente en la población de El Bocón. Una persona se presenta ante el personero municipal para hacer la denuncia y menciona a las personas que pueden dar fe de los hechos denunciados.
 
Cuando los testigos deben rendir sus declaraciones, todos estos mencionan que efectivamente Andrés y Victoria hacían vida de casados sin serlo generando escándalo en dicha población, y que además también habían procreado un hijo que ya tenía un año de vida producto de aquella relación ilícita.
 
Victoria, quien fue la primera de los sindicados en dar sus declaraciones del presunto delito, mencionó que sí vivía con Andrés en un mismo hogar hace dos años y que, en efecto, se tenían consideraciones como esposos. Además, confirmó que habían procreado juntos un hijo. Ésta menciono también que Andrés le había propuesto matrimonio, pero que aún este compromiso no se había hecho efectivo. Andrés, el otro sindicado de amancebamiento, ratificó todas las palabras mencionadas por Victoria y aseguró que estos estaban próximos a casarse, pues la fecha estaba estipulada para octubre de 1910.
El caso pareció dilatarse por mucho tiempo, hasta que el juzgado lo prescribió por no haber avances en este.",,,,"Descrito por Nallely Taborda Castañeda el 2022-12-07, revisado por Daniel Varela Corredor y Kelly López Roldán el 2024-02-20"
AHJCI.MFC.002.022,Javier Hurtado Ibargüen,EAP1477_MFC_B02_Doc22_CaceresvsParedes,EAP1477_MFC_B02_Doc22_CaceresvsParedes_IMG_001,EAP1477_MFC_B02_Doc22_CaceresvsParedes_IMG_032,32,Documento,15 folios de papel,"José Isaías Cáceres contra Hilario Paredes, demanda de despojo para que se le restituya el terreno denominado La Vívora o El Venado","Archivo Histórico del Juzgado del Circuito de Istmina, Fondo Minería y Familia, Caja 3, Documento 22",1910,,Istmina|Cuellar|El Venado|San Juan,"Cáceres, José Isaías|Domingo, Manuel|Bonilla, José Alejandro|Cáceres, Juan Evangelista|Pandales, Hilario|Bonilla, Helmeregildo|Maricua, María Lina|Salazar, José A|Murillo, Rodolfo",,judicial|tierras,"Denuncia que hace José Isaías Cáceres contra Hilario Pandales por el delito de despojo terrenos. Manifiesta el primero que Pandales, en complicidad con el inspector del corregimiento de Cuellar, le dio posesión a este sobre unos terrenos que históricamente habían sido de Juan Evangelista Cáceres, Padre de José Isaías, que hace poco tiempo había muerto. Argumentó Isaías que él, su madre y sus hermanos, como parientes primarios del finado Cáceres, eran dueños legítimos de esos terrenos y que, además, durante casi toda su vida su padre fue dueño legítimo y pacífico de esas tierras pues en vida nunca nadie le reclamó por ellas y jamás estuvieron en disputa o pleitos jurídicos. Además, para Isaías es un claro atropello porque jamás hubo un debido proceso ni orden de un juez para dar posesión de dichos terrenos.

Isaías es citado al juzgado para que pueda modificar la denuncia que hizo, pues en casos como estos donde había tierras de por medio se debían establecer cuáles eran las cuantías de los terrenos. Efectivamente Isaías hace la modificación de la denuncia, pero el caso nunca prospera, pues es cerrado en 1953 y hay que tener en cuenta que este casi inicia en 1910.",,,,"Descrito por Javier Hurtado Ibargüen el 2022-12-02, revisado por Daniel Varela Corredor y Kelly López Roldán el 2024-02-20"
AHJCI.MFC.003,Daniel Varela Corredor,MFC_B03,,,1317,Caja,"26 expedientes, manuscritos; incluye material impreso",Caja 3,"Archivo Histórico del Juzgado del Circuito de Istmina, Fondo Minería y Familia, Caja 3",1891,1915,Ánimas|Bagadó|Barranquilla|Baudó|Bebedó|Boca de Tamaná|Bogotá|Buenaventura|Cali|El Carmelo|Cartagena|Cartago|Condoto|El Tapón|El Tigre|Istmina|La Esperanza|London|Nóvita|Opogodó|Popayán|Primavera|Pueblo Nuevo|Pueblo Rico|Quibdó|Raspadura|San Agustín|San Pablo|Santa Barbara de Iró|Sipí|Soledad|Tadó|Tamaná|Tulúa,,,,"Esta caja contiene 26 procesos judiciales iniciados principalmente entre 1911 y 1915, y un juicio por amancebamiento iniciado en 1891 que involucra a varios miembros de la familia Moreno de Opogodó. La mayoría de estos expedientes se refieren a casos judiciales por propiedad minera en la cuenca del río San Juan, incluyendo la oposición a denuncios de posesión minera, la venta y herencia de estas propiedades, pagos de maquinaria y contratos de explotación industrial. Menciona actores clave para la historia de la minería en Chocó como la empresa Anglo Colombian Development Company, Cayetano Acosta, Antonio Asprilla, Cicerón Castillo y Hermenegildo Bonilla. Adicionalmente, hay algunos casos por amancebamiento, delitos contra la hacienda pública, heridas y correspondencia personal del comerciante Alcides Asprilla.",,,,"Descrito por Daniel Varela Corredor el 2023-06-07, revisado por Kelly López Roldán el 2024-02-20"
AHJCI.MFC.003.001,Javier Hurtado Ibargüen,EAP1477_MFC_B03_Doc01_Ibarguen,EAP1477_MFC_B03_Doc01_Ibarguen_IMG_001,EAP1477_MFC_B03_Doc01_Ibarguen_IMG_039,39,Documento,19 folios de papel,Solicitud sobre autorización para enajenar parte de los bienes que posee Simona L. de Ibargüen ,"Archivo Histórico del Juzgado del Circuito de Istmina, Fondo Minería y Familia, Caja 3, Documento 1",1914,,Condoto|Cali|Istmina,"Ibargüen, Simona de|Sánchez, Manuel Gregorio|Lozano, Salomón|Ibargüen, Erasmo|Gómez, Pedro|Urbano, Manuel|Mosquera, Hilarión|Baldomero, Ángel|Castillo, Abel|Gómez, José|Medina, Pedro A|Serrano, Pedro Elías|Segura, Fernando|Holguín, Franco|Caicedo, Joaquín de",,judicial|tierras,"Este caso no habla sobre el proceso civil que interpone Simona de Ibargüen en el juzgado de Condoto para poder vender 10 acciones y media de un terreno que, según ésta, le correspondían por ser esposa de Erasmo Ibargüen, de quien no se conocía el paradero desde hace más de 5 años. Alega Simona que se encontraba en una difícil situación, pues desde que su esposo se ausentó ella y su hijo no tienen un hogar fijo donde quedarse y le toca vivir de posada en posada o alquilar casas para poder dormir, sin contar que su hijo está en situación de necesidad escolar. Bajo estos argumentos pide ante este juzgado que se le habilite para vender dichas acciones y poder comprar casa y suplir sus necesidades.
Ella arma su caso y se consigue 5 testigos a los cuales se les recibe declaraciones en dicho juzgado, todos concuerdan en lo mismo, que el marido desapreció hace mucho tiempo, que no tiene donde vivir y que la corte debería de fallar positivamente en este proceso para que ella pueda suplir todas sus necesidades a partir de la venta de las acciones.
Lastimosamente el caso no prosperó, la corte consideró que el sumario allegado era insuficiente, pues el hecho de que los testigos se dedicaran a repetir una y otra vez lo mismo era un argumento muy débil, ya que no se mencionó ninguna acción o situación en particular que ratificara tales declaraciones. Adicionalmente, Simona no pudo allegar documentos claves como la partida de matrimonio, un documento clave e indispensable para el proceso. Con estos argumentos de la corte se le negó el proceso civil en primera y segunda instancia a Simona de Ibargüen.",,,,"Descrito por Javier Hurtado Ibargüen el 2022-12-13, revisado por Daniel Varela Corredor y Kelly López Roldán el 2024-02-20"
AHJCI.MFC.003.002,Jhon Leison Rivas Rodríguez,EAP1477_MFC_B03_Doc02_AngloColombian,EAP1477_MFC_B03_Doc02_AngloColombian_IMG_001,EAP1477_MFC_B03_Doc02_AngloColombian_IMG_038,38,Documento,18 folios de papel,The Anglo Colombian Development Company Limited por el juicio de oposición de denuncio de la mina Las Comadres ,"Archivo Histórico del Juzgado del Circuito de Istmina, Fondo Minería y Familia, Caja 3, Documento 2",1912,,Condoto|Río Condoto|quebrada Las Comadres|Quebrada Fapera|Istmina,"Bonilla, Hermenegildo|Arizalas, Andrés|Mercedes|Mosquera, Manuel Antonio|Stapleton, Daniel C|Gómez, Pedro A|Miller, Ramón|Lozano, Indalecio|Cuevas, Feliciano|Mosquera, Luis José|Ampudia, Guillermo",,judicial|minas|minería|comercio,"Este documento trata acerca de una empresa llamada Anglo Colombian Development Company Limited, de Londres, la cual tuvo muchas demandas y denuncias en contra por la oposición a la propiedad de las minas Las Comadres, por amojonamiento de algunas quebradas como: Las Comadres, Fapera y el río Condoto, lo cual llevo al señor Andrés Arizalas y muchos testigos más a oponerse a las aspiraciones de propiedad de la empresa Anglo Colombian Development Company Limited.","El documento está en mal estado, en ocasiones no se puede leer el número de folio",,,"Descrito por Jhon Leison Rivas Rodríguez el 2022-12-20, revisado por Daniel Varela Corredor y Kelly López Roldán el 2024-02-20"
AHJCI.MFC.003.003,Yurleyda Perea Cuesta,EAP1477_MFC_B03_Doc03_MosquerayMartinez,EAP1477_MFC_B03_Doc03_MosquerayMartinez_IMG_001,EAP1477_MFC_B03_Doc03_MosquerayMartinez_IMG_034,34,Documento,16 folios de papel,Contra Víctor Mosquera y Rosa Isabel Martínez por amancebamiento público y escandaloso,"Archivo Histórico del Juzgado del Circuito de Istmina, Fondo Minería y Familia, Caja 3, Documento 3",1914,,Minas de Opogodó|Cali|Caserío de Opogodó|Nóvita|Iglesia Parroquial|San Jerónimo de Novita|Raspadura|Punto de la Soledad,"Zamorano, Belisario|Mosquera, Víctor|Martínez, Rosa Isabel|Collazos, Joaquín|Holguín, Juano|Morales, Carlos|Mosquera, Manuel José|Ibargüen, Nicomedes|Castillo, Jaime|Lozano, Indalecio|Abadía, Arístides|Mosquera, Anotonio|Rentería de Mosquera, Sixta|Albornoz, Demetrio|Mena, Miguel|Potes, Emilio|Martínez, José|Velásquez, Antonio|Garcés, Manuel|Salazar, Demetrio|Mosquera, Genaro|Pietos, Regina|Martínez, Manuela|Posso, Ángel|Mosquera, Ángel|Mosquera, Valentín|Mosquera, Victor José|Gamboa, Leonidas|Potes, Cirilo|Gaviria, Abraham|Perea, Rudecindo|Góngora, Luis E|Arboleda Albornóz, Demtria",,judicial|vida social,"Sixta Rentería, esposa de Víctor Mosquera, hace un denuncio ante el inspector de policía de Opogodó el 1 de septiembre de 1914 en contra de su esposo, y la señora Rosa Isabel Martínez por amancebamiento público y escandaloso.

Al momento de las declaraciones que se realizan ante el juez, un testigo se unió declarando que él ha visto y le consta que ellos viven juntos amancebados pero que cada uno vive en su pieza y que él sabe que para que sea un delito es necesario que reúna muchos requisitos y es claro que, en este caso, no existe, porque los supuestos mancebos no viven bajo un mismo techo, ni comparten la mesa, ni se predican consideraciones de casados sin serlo, ni son escandalosos, ni su amancebamiento, si lo hay, es público, y que ni el niño que la señora Rosa Isabel tiene, llamado Víctor José Mosquera, y que el señor Víctor le dio a apadrinar al señor Nicomedes Ibargüen, es prueba.

El 19 de agosto de 1914, se le hace petición al señor cura párroco de Istmina para que expida una copia de la partida de matrimonio de los esposos Víctor Mosquera y Sixta Rentería de Mosquera, cuyo acto lo presenció el señor presbítero Demetrio Salazar en el año 1903 o 1904. El acto de matrimonio fue llevado a cabo luego de que el señor presbítero verificara la información verbal y no habiendo encontrado impedimento presenció el matrimonio que contrajeron los señores Víctor y Sixta de Mosquera.

En la alcaldía de Nóvita se pidió agregar al denuncio hecho por la señora Sixta, la copia del matrimonio y se pide también al señor corregidor de las minas de Opogodó, agregar la filiación de los sindicados y así se hizo.

En su declaración, Sixta Rentería de Mosquera menciona también que estuvo incapacitada por unas heridas causadas por su esposo Víctor Mosquera, pero que las heridas no fueron tan graves ya que solo duró algunos días en casa y que eso lo puede corroborar el señor Miguel Mena.

Llaman a rendir declaración a la señora Rosa Isabel Martínez y esta dice que ella no es la que vive amancebada con Víctor Mosquera. También declarara Víctor Mosquera y menciona que él no fue quien tuvo hijo con Rosa Isabel, que ella si lo tiene, pero es solo de ella.

Otro testigo llamado Manuel José M. dice que a él le consta que Víctor vive amancebado con Rosa, pero que cada uno en su pieza y que también le consta que ellos son los padres del niño Víctor José; solo que no sabe quién pueda también declararlo y que quizás el señor Víctor se socorre con Rosa Isabel por la circunstancia del niño.

El testigo Miguel Mena dice en su declaración que él no presenció cuando Víctor Mosquera hirió a su esposa, pero que sí la vio a ella botando sangre y que no tienen conocimiento de por qué se produjo el pleito.

Otra testigo fue la señora Demetria Arboleda, quien en su declaración menciona que con respecto a las heridas sufridas por la señora Sixta Rentería de Mosquera, vio cuando discutían porque ella estaba en la casa de ellos y que el señor Víctor le dio una gaznatada a su esposa sin dejarle ninguna herida, pero si la vio botando sangre y que el motivo por el que discutían era por 5 y 1/2 granos de oro que el señor Víctor le adeuda a la testigo.

A esto la señora Sixta habla y aclara que: sí, como ya había dicho, su esposo fue quien le hizo la herida en la oreja en presencia de la tía Demetria.

Que él debía pagarle a la tía un oro y que no lo hizo por estar en la calle con su concubina, y que la llama de esa forma porque vivían amancebados primero bajo su mismo techo en el punto de Soledad, haciendo vida de casados sin serlo. También que en el mismo caserío los transeúntes los veían en ese estado escandaloso, y que eso lo pueden testificar los señores Cirilo Potes, Nicomedes Ibargüen, Manuel José Mosquera y todos los que ellos citen.

El juez toma en consideración esto teniendo en cuenta las declaraciones de los testigos como: no probada la existencia de un delito, ni la responsabilidad de los sindicados, quienes niegan los hechos.",El documento está en mal estado. En ocasiones es difícil leer el número de folio.,,,"Descrito por Yurleyda Perea Cuesta el 2022-11-17, revisado por Daniel Varela Corredor y Kelly López Roldán el 2024-02-20"
AHJCI.MFC.003.004,Ernestina Lemos Rentería,EAP1477_MFC_B03_Doc04_DominguezvsGarrido,EAP1477_MFC_B03_Doc04_DominguezvsGarrido_IMG_001,EAP1477_MFC_B03_Doc04_DominguezvsGarrido_IMG_034,34,Documento,16 folios de papel,Víctor M. Domínguez y herederos de D. Camilo Domínguez contra Vicente Garrido Cañate por el proceso sobre la propiedad de la mina exceso oriental de Perico,"Archivo Histórico del Juzgado del Circuito de Istmina, Fondo Minería y Familia, Caja 3, Documento 4",1911,,,"Garrido, Vicente|Domínguez Gómez, Víctor M|Malluk, Assad M|D|Domínguez, Camilo|Domínguez de Castro, Celia|Domínguez de Calderón, Celsa|Domínguez de Caicedo, Adelinda|Gómez Dominguez, Guillermo|Sánchez, Rafael|Aguilar, Luis M|Calderón, Teodomiro|Segura, Fernando|Castillo, Jaime",,judicial|minas|minería,"El señor Víctor M. Domínguez Gómez, en carácter de apoderado legal del señor Assad M. Malluk, formalizó la oposición que hizo ante el señor alcalde de Tadó al denuncio de la mina Exceso Oriental de la mina denominada Perico, que denunció anteriormente el señor Vicente Garrido Cañarte. El señor Domínguez presenta una copia de escritura de dicha mina, otorgada ante el señor notario público del municipio de San Juan, y desde entonces él y sus herederos (tres generaciones) han estado y estaban en posesión, no interrumpida de esa propiedad y el señor Garrido Cañarte al dar su denuncio violó la prohibición del mencionado artículo 3 de la ley 38 de 1887, pues no solicitó de los dueños de los terrenos cultivados el permiso de que habla el precitado artículo y fundó también su oposición en el artículo 45 de la ley 292 de 1875 a favor de los legítimos herederos de la renombrada mina Perico. Entonces, el Exceso de mina existe o no existe, pues el señor Vicente Garrido Cañarte reclama y dice que el señor Luis M. Aguilar y él, en carácter de socios del expresado señor Assad, tienen derecho a los excesos de la mina de oro de aluvión denominada Perico; y que ese derecho es preferente al que pueda alegar el señor Víctor M. Domínguez Gómez como mandatario del señor Malluk, y cualquier otra persona distinta a estos, y que a justa petición de peritos, se les indemnice a los demandantes por los señores Malluk y Domínguez Gómez, por los perjuicios provenientes de la mora en la posesión de los excesos que han denunciado y por el valor de los metales que hayan extraído y puedan extraer en ese tiempo. ",,,,"Descrito por Ernestina Lemos Rentería el 2022-11-08, revisado por Daniel Varela Corredor y Kelly López Roldán el 2024-02-20"
AHJCI.MFC.003.005,Nallely Taborda Castañeda,EAP1477_MFC_B03_Doc05_AngloColombianvsAcosta,EAP1477_MFC_B03_Doc05_AngloColombianvsAcosta_IMG_001,EAP1477_MFC_B03_Doc05_AngloColombianvsAcosta_IMG_012,12,Documento,5 folios de papel,The Anglo Colombian Development Company contra Cayetano Acosta por la propiedad de la mina Apotosito,"Archivo Histórico del Juzgado del Circuito de Istmina, Fondo Minería y Familia, Caja 3, Documento 5",1912,,Condoto|San Juan|Istmina,"Acosta, Cayetano|Quintana, Luis E|Slapleton, Daniel G|Sánchez, Rafael|Quintana, Luis",,judicial|minas|minería,"La compañía de aluminio, oro y platino The Anglo-Colombian Development Company Limited, de Londres, demanda a Cayetano Acosta, presidente de una sociedad minera, por la propiedad sobre unos terrenos reclamados por Acosta. La Anglo argumenta que estos terrenos están dentro de los linderos de la mina del riachuelo de Apotosito con sus vegas, de su propiedad, y que esta mina está reglamentada y no se encuentra abandonada, por lo tanto, no se le pueden otorgar títulos a Acosta. ",No es posible distinguir los números de folio,,,"Descrito por Nallely Taborda Castañeda el 2022-10-24, revisado por Daniel Varela Corredor y Kelly López Roldán el 2024-02-20"
AHJCI.MFC.003.006,Javier Hurtado Ibargüen,EAP1477_MFC_B03_Doc06_ValenciavsLemus,EAP1477_MFC_B03_Doc06_ValenciavsLemus_IMG_001,EAP1477_MFC_B03_Doc06_ValenciavsLemus_IMG_084,84,Documento,41 folios de papel,Pascual Valencia contra Manuel Lemus y Natividad Mosquera por amancebamiento,"Archivo Histórico del Juzgado del Circuito de Istmina, Fondo Minería y Familia, Caja 3, Documento 6",1913,,Nóvita|El Tigre|Cali|Istmina,"Mosquera, Natividad|Lemus, Manuel|Valencia, Pascual|Rivas, Pastor|Valencia, Luis|Valencia, Pedro|García, Aurelino|Ferran, Gorgonio|Valencia, Pedro|Camacho, José|Rivas, Felipe|Salustriano Rivs, Pedro|Ramírez, Félix M|Caicedo, Joaquín de",,judicial|vida social,"El documento trata sobre la denuncia por amancebamiento que recae sobre el señor Manuel Lemus y a la señora Natividad Mosquera. Pascual Valencia, oriundo de Nóvita y vecino de Manuel, es quien lo denuncia, porque considera que este último vive amancebado con Natividad en el corregimiento de El Tigre.

Argumenta Pascual que Lemus, cada vez que se va a trabajar en el campo (en el corregimiento El Tigre), se queda a vivir en la casa de Natividad. Pero que no solo es eso, que además duermen juntos, hacen actividad juntos, que producto de esa relación nació un niño, y que la señora cumple las funciones de una mujer casada e incluso se les ha visto presentar problemas que solo se pueden asociar a los de una pareja que ha contraído matrimonio. Para ratificar lo dicho, el denunciante da una lista de testigos que pueden dar fe de su testimonio. Es así que, en líneas generales, los testigos manifiestan que realmente Lemus y Natividad sí viven juntos pero que a ellos particularmente no les consta que hagan vida de casados y todo lo que esto representa.
 
Cuando los sindicados son llamados a declarar, Natividad manifiesta que ella si vivió con Lemus y que sí tuvieron un hijo producto de esa relación, pero hace poco más de un mes ya no viven juntos. Cuando es el turno para declarar del señor Lemus, éste argumenta también que sí vivió con la sindicada por un tiempo, pero que esto era esporádicamente.

En primera instancia los jueces del circuito de Novita dan la siguiente sentencia: castigar a Lemus con un año de confinamiento en Pueblo Rico, y castigar con 4 meses de cárcel a Natividad en las cárceles del circuito de ese despacho, al mismo tiempo que debían pagar todos los costos del proceso jurídico.
 
Para la segunda instancia y en un tono de mucha “molestia”, el tribunal de Cali absuelve a los sindicatos de todas las penas impuesta en primera instancia y además da unas reflexiones sobre el delito de amancebamiento y del por qué no se debería de castigar en una región como el Chocó, específicamente en Nóvita.",,,,"Descrito por Javier Hurtado Ibargüen el 2022-11-17, revisado por Daniel Varela Corredor y Kelly López Roldán el 2024-02-20"
AHJCI.MFC.003.007,Yurleyda Perea Cuesta,EAP1477_MFC_B03_Doc07_AsprillavsCastillo,EAP1477_MFC_B03_Doc07_AsprillavsCastillo_IMG_001,EAP1477_MFC_B03_Doc07_AsprillavsCastillo_IMG_077,77,Documento,38 folios de papel,Antonio Asprilla contra José Cicerón Castillo por la resolución del contrato para la explotación de los metales que se hallan en el lecho del río Condoto,"Archivo Histórico del Juzgado del Circuito de Istmina, Fondo Minería y Familia, Caja 3, Documento 7",1912,,Condoto|Río Condoto|Istmina|Mina La Lozana|Londres|Punto de Mandinga|Cartagena|Bogotá|Buenaventura,"Asprilla, Antonio|Cicerón Castillo, José|Delgado, Cleofa|Mery A, Guillermo S|Serrano, Pedro Elías|Lozano, Indalecio|Gómez, Pedro A|Rivera, Eduardo|Abadía, Arístides|Posso, Tiberino|Rivas, Feliciano|Arriaga, Rodolfo|Jiménez, Carlos Modesto|Ayala, Ricardo|Becerra, Teodolindo|Sánchez, Rafael|Segura, Fernando|Castillo, Jaime|López, Tulio|Domínguez, Leonidas|Castro, Cerbeleón ",,judicial|minas|minería,"Acciones en la mina La Lozana. Antonio Asprilla Arango presentó una póliza ante el notario de Istmina en la que solicita otorgar una escritura pública a favor de Arístides Abadía, apoderado de José Cicerón Castillo, socio y presidente de una Compañía Minera de Condoto a cuyo nombre recibirá y firmará la escritura, por la venta que le hice de dos y tres cuartos y siete, 32 años de acciones que tiene Antonio A. en la mina La Lozana.

Estos derechos que Asprilla traspasa, los obtuvo por una compra que le hizo a ellos mismos, como compañía; acto realizado por medio de escritura pública de venta que le hizo el vendedor Feliciano Rivas y en contrato especial por la suma de 750,00 pesos de oro. Acto celebrado con el señor Castillo y cuyos derechos quedaron para representar media acción.

Cabe mencionar que este negocio se realizó en presencia de testigos instrumentales, por lo que queda esta venta, por medio de escritura, sin valor alguno, ya que en ésta se mencionaba una acción más, es decir, tres y tres cuartos, mas no dos y tres cuartos, como se menciona en esta actual escritura. Por lo tanto, se solicitó que se hiciese bajo todas las leyes necesarias para seguridad del comprador.

Arístides Abadía quedó satisfecho y aceptó la actual escritura. Días después, Antonio Asprilla, al recibir el cheque por la misma suma anteriormente escrita, afirmó que: “en caso de que las negociaciones con la Compañía se dañen, sus derechos no serán enajenados”. El señor Cicerón Castillo, le escribió a Antonio Asprilla desde Londres, manifestándole que la media acción de esta Compañía Minera de Condoto son para entregárselas a un señor de apellido Stapleton, pero que como Castillo no puede recibirlas, entonces le pide que por favor se las entregue a Stapleton directamente.

Declaraciones: por medio del contrato celebrado entre Cicerón y los ministros de Obras Públicas y de Hacienda, se busca demostrar caducidad en la explotación de metales en la mina La Lozana en el lecho del río Condoto.
Ante estas declaraciones, Asprilla le pide al alcalde de Istmina que los señores Rodolfo Arriaga, Carlos Jiménez, Ricardo Ayala y Teodolindo Becerra se sirvan testificar si es verdad que Cicerón Castillo no ha dado inicio a los trabajos hidráulicos al tenor del artículo cuarto del contrato celebrado entre éste y el gobierno nacional. También que digan si es verdad que los trabajos de exploración en este río de Condoto están suspendidos hace más de un año y los de explotación no cuentan si quiera con principio de ejecución. Las respuestas fueron que: ellos no han visto establecer draga alguna en el río de Condoto, que han visto un motor cerca del río y que ellos suponen está destinado a ese trabajo y que, aunque es verdad que Castillo montó una máquina a vapor en la denominada mina Mandinga, esta no tuvo otro objeto que trabajos verificados en seco, por medio de una bomba hidráulica. Después de estas declaraciones, Antonio Asprilla propuso demanda ordinaria contra José Cicerón Castillo por resolución, caducidad o inexistencia legal de la escritura que propone la exploración y explotación de metales en el lecho del río Condoto y por medio de su apoderado, Pedro Elias S., pide también que se declare en sentencia definitiva la resolución del contrato que reza esta escritura (#94), más que se le condene al demandado a pagar las costas del juicio.
Ante esta demanda, el juzgado estableció abrir a prueba el juicio por el término de 30 días hábiles y el apoderado del demandante queda en la obligación de avisar el paradero del demandado. A lo que el apoderado, al ser notificado con este auto, responde: “Ese juicio ha estado demorado debido a que el señor Cicerón ha estado ausente de esta ciudad, pues se sabe que está en Buenaventura”.

En cuanto a esta demanda y un largo proceso, el juez dice que: “la comisión conferida a ese despacho, en cuanto a la demanda que se sigue, no fue posible verificarla por cuanto el demandado no reside en ese lugar, donde se encuentra actualmente”.

Agosto 13 de 1929. El juzgado: permanezca en la secretaría, hasta saber dónde reside el demandado y haya quien haga los gastos para la continuación del asunto","Las primeras hojas están en mal estado
A partir de la imagen 31 el documento presenta rasgaduras que comprometen el contenido de muchos fragmentos.",Las imágenes 39 y 40 tienen una orientación contraria al resto del documento.,,"Descrito por Yurleyda Perea Cuesta el 2023-02-28, revisado por Daniel Varela Corredor y Kelly López Roldán el 2024-02-20"
